"audit_row","bottle","status","peated_id","skipped_fields","reason","source_urls"
"1","The Macallan Sherry Oak - 2022 Release","ADDED — optional facts left blank","B52427","singleCask | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseMonth | releaseDay | caskNumber | outturn","Other null fields lack release-specific evidence. No aliases, references, merges, or regrouping are proposed.","https://www.themacallan.com/en/single-malt-scotch-whisky/sherry-oak-25-years-old-2022-release | https://assets.whiskyauctioneer.com/2026-08/5281357-001.jpg"
"2","Original source missing — old Glenmorangie candidate only","SKIPPED — unresolved identity","B5371 (possible match only)","entire release","The only recovered observation for original audit 2 is a rejected candidate B5371, Glenmorangie ten-year-old fourth generation, with the note that no candidate was specific enough. The original auction title, lot URL, ABV, date and edition are absent. A candidate's identity is not the source bottle's identity. No exact-title or exact-lot join exists in the raw snapshot. Skip this row; do not add a guessed Glenmorangie or declare B5371 a verified match. Local evidence: recovered-tsv-observations.json, ordinal 2330. No production write.",""
"3","Benrinnes Single Malt Scotch Whisky","ADDED — optional facts left blank","B52458","naturalColor | nonChillFiltered | maltPhenolPpm | releaseYear | releaseMonth | releaseDay","Release date, natural colour, chill filtration, malt PPM and flavor classification are not established. Natural cask strength does not prove natural colour. The bottling date is not treated as a release date. The Casks of Distinction cross-brand program stays in the description, not a new BottleSeries.","https://whiskyauctioneer.com/whisky-lot/5283666/benrinnes-1992-casks-distinction-30-year-old | https://www.diageorareandexceptional.com/us/casks-of-distinction"
"4","Four Roses Mizunara Cask Finish - Experiment No. 001","ADDED — optional facts left blank","B52456","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | caskNumber | outturn","No vintage, bottling year, outturn, cask number, cask-strength claim, colour/filtration declaration, PPM or flavor classification established. The auction's 2026 year is not accepted as a bottling date. The recipe code OBSK is production context, not a cask number or edition.","https://whiskyauctioneer.com/whisky-lot/5283744/four-roses-mizunara-finish-straight-bourbon-experiment-no001 | https://www.fourrosesbourbon.com/bourbon/mizunara-cask-finish | https://www.prnewswire.com/news-releases/four-roses-distillery-enters-a-new-era-of-bourbon-innovation-with-launch-of-experimental-series-302807822.html"
"5","The Macallan An Estate, A Community and A Distillery","ADDED — optional facts left blank","B52476","statedAge | singleCask | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseDay | maturation | caskNumber | outturn","No exact vintage, bottling year, maturation statement, cask number, outturn, cask-strength status, single-cask status, filtration, malt PPM or flavor profile established. Do not copy 1967 vintage or collection-level 13-bottle counts from other Anecdotes works. Month of release is corroborated; day remains null. Natural colour is printed on the selected exact producer image.","https://www.themacallan.com/en-hk/single-malt-scotch-whisky/an-estate-a-community-and-a-distillery | https://whiskyauctioneer.com/whisky-lot/5279366/macallan-x-sir-peter-blake-estate-community-and-distillery | https://www.masterofmalt.com/blog/post/an-exciting-new-macallan-whisky-bottle-lottery-is-here/ | https://www.whiskyshop.com/the-macallan-an-estate-a-community-and-a-distillery"
"6","Ardnamurchan AD/","ADDED — optional facts left blank","B52473","statedAge | noAgeStatement | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseYear | releaseMonth | releaseDay","Stated age and confirmed NAS status are not established by the small label text; no age inferred from years. Cask strength has only one exact secondary claim; producer says typically rather than always. Colour, filtration, malt PPM, release date and flavor profile remain null. Unpeated is not converted to numerical zero PPM. No exact release date inferred from the bottling year.","https://whiskyauctioneer.com/whisky-lot/5278512/ardnamurchan-ad1014-ck293 | https://www.thegrandwhiskyauction.com/lot-871857/ardnamurchan-ad1014-ck293-exclusivly-for-cruachan-mmxiv/ | https://www.whiskybase.com/whiskies/whisky/281169/ardnamurchan-2014-ad1014-ck293 | https://ardnamurchandistillery.com/our-whiskies/ad-single-cask"
"7","The Balvenie Pedro Ximénez Cask","ADDED — optional facts left blank","B52457","singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | caskNumber | outturn","No vintage or bottling year established. Release in 2022 does not establish a bottling date or dated edition. No single-cask/cask-strength claim, colour/filtration facts, cask number, outturn, PPM or flavor classification established. Travel-retail market alone is not an edition.","https://whiskyauctioneer.com/whisky-lot/5281252/balvenie-pedro-ximenez-cask-18-year-old | https://www.thewhiskyexchange.com/p/81347/balvenie-18-year-old-pedro-ximenez-sherry-cask | https://moodiedavittreport.com/the-balvenie-releases-latest-expressions-in-cask-finishes-range/ | https://www.trbusiness.com/regional-news/international/balvenie-launches-three-new-cask-expressions-two-exclusive-to-dftr/217417"
"8","The Macallan Sherry Oak - 2023 Release","ADDED — optional facts left blank","B52472","singleCask | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseMonth | releaseDay | caskNumber | outturn","Exact release month/day, bottling year, vintage, outturn, cask number, cask strength, single-cask status, filtration, malt PPM and flavor profile are not established. The annual release year is not copied into bottling year. No aliases or input references are added. Tasting notes are read-only.","https://www.themacallan.com/en-us/single-malt-scotch-whisky/sherry-oak-25-years-old-2023-release | https://whiskyauctioneer.com/whisky-lot/8213466/macallan-25-year-old-annual-2023-release"
"9","Original source missing — old North of Scotland candidate only","SKIPPED — unresolved identity","B3598 (possible match only)","entire release","Only historical TSV ordinal 2330 survives: candidate B3598, North of Scotland 1971 G&C The Pearls of Scotland, rejected for age 52 versus 40. The source title, lot URL, ABV, bottler and exact release facts are missing. Current North of Scotland 1971 age-52 lots are plausible leads but cannot be assigned to original audit 9 without a source join. No guessed Bottle, matched ID, date or cask facts added.",""
"10","Yamazaki 12 Year Old Suntory Pure Malt","EXISTING — identity matched; no changes","B2276","bottlingYear | flavorProfile | description","Match the core Yamazaki 12-year-old, 43% single malt to B2276 after all 162 entity records were reviewed. Exact source and front label identify the older Suntory Pure Malt wording. Producer history confirms the core 12-year expression began in 1984. Packaging wording and 75cl volume alone do not create a separate release under the catalog guide. No dated edition is printed or established. No Bottle, group, alias, reference, series or image changes. Auction's approximate 1989-1990 dating is not an exact bottling year or marketed edition. Existing optional flavour and descriptive claims were not independently reverified. This records identity coverage, not a complete enrichment of the existing record. Keep the current image; do not replace it with historical packaging.","https://whiskyauctioneer.com/whisky-lot/5280996/yamazaki-12-year-old-suntory-pure-malt | https://www.suntory.com.tw/alcohol/SPW/yam_fac2.asp | https://house.suntory.com/yamazaki-whisky/yamazaki-12-years-old"
